masv,dien_tt,diem_tt,lop12_matinh,lop12_matruong,TEN_TRUONG
03B1BF87XPvAibaEXe83EtiN4MI2ns5qclkPljKC,THPT,27,37,18,THPT HÚa BÏnh
6920B9AAXPvAibaEXe83EtiN4MI2ns6NZhlUAIhE,THPT,28.5,38,5,Tr??ng THPT ChuyÍn H˘ng V??ng
AB1F6AA8XPvAibaEXe83EtiN4MI2nszto21zu7z9,THPT,24,35,15,Tr??ng THPT T? th?c Nguy?n B?nh KhiÍm
73FCD503XPvAibaEXe/YKAlYnC3m942m9zzkluOD,THPT,27,41,21,THCS&THPT iSchool Nha Trang
B8B283D5XPvAibaEXe/YKAlYnC3m91sqM4cV+tQd,THPT,26,41,13,THPT Tr?n Qu˝ C·p
2F237AA9XPvAibaEXe/YKAlYnC3m967dOM4WK2IJ,THPT,31,2,98,THPT Ph?m V?n S·ng
F309234EXPvAibaEXe/YKAlYnC3m9+IBO6iZJ0Cn,THPT,24.5,44,8,THPT BÏnh Ph˙
81D2AB1FXPvAibaEXe/YKAlYnC3m9ztTf89k7OWJ,THPT,24.5,49,6,THPT Nguy?n H?u Th?
5792EF1AXPvAibaEXe/YKAlYnC3m90v7yzvt+OYP,THPT,26.5,47,1,THPT Phan B?i Ch‚u
001BB05EXPvAibaEXe/YKAlYnC3m92BzM+VhZyc0,THPT,26,41,19,THPT Ho‡ng V?n Th?
4283E94DXPvAibaEXe/YKAlYnC3m95G1fYL7q9dG,THPT,24.5,2,75,THPT An L?c
2D469F82XPvAibaEXe/YKAlYnC3m9yAnVuerKywR,THPT,27,48,54,THPT BÏnh S?n
85C41091XPvAibaEXe9iKIRwqei6/E3o02jlnmLt,THPT,28,35,27,Trung t‚m GDNN-GDTX huy?n Ngh?a H‡nh
29DAC8E5XPvAibaEXe9iKIRwqei6/AabAAzMbpha,THPT,24,2,61,THPT T‚y Th?nh
42A0A8EEXPvAibaEXe9iKIRwqei6/H1ClHJwaL6I,THPT,28,56,7,THPT Tr?n V?n Ki?t
C64D90E5XPvAibaEXe9iKIRwqei6/FXZkk7l9+S5,THPT,25.5,2,102,THPT C?n Th?nh
C4EF60B5XPvAibaEXe9iKIRwqei6/NTXytYp5Ig8,THPT,29.5,2,102,THPT C?n Th?nh
08BC841DXPvAibaEXe9iKIRwqei6/L0WWlLQs16x,THPT,24.5,2,1,THPT Tr?ng V??ng
6AEF2EC0XPvAibaEXe86736b6Ol+/EwtIJHvLVRJ,THPT,33,2,57,THPT Nguy?n ChÌ Thanh
F99CE6DEXPvAibaEXe86736b6Ol+/O3ZQU1AW1/C,THPT,28.5,53,19,THPT Ch? G?o
E934BCD3XPvAibaEXe86736b6Ol+/MLJ5vOrqV8U,THPT,24,44,8,THPT BÏnh Ph˙
7259E977XPvAibaEXe86736b6Ol+/PreEMY8ftS4,THPT,27,2,57,THPT Nguy?n ChÌ Thanh
A7930FD4XPvAibaEXe86736b6Ol+/NWYAIVhPTcM,THPT,23.5,47,4,THPT H‡m Thu?n B?c
33F840BEXPvAibaEXe86736b6Ol+/H7P3cx/tka4,THPT,26.5,2,61,THPT T‚y Th?nh
7B2E75BDXPvAibaEXe86736b6Ol+/BCzp68OCKKb,THPT,26.5,54,9,THPT T‚n Hi?p
678A7E53XPvAibaEXe86736b6Ol+/Jgt4POkxWzn,THPT,29,43,24,Trung t‚m GDNN - GDTX huy?n B˘ ??p
6F75613CXPvAibaEXe8/3iNqySORbxrmFjIeDct7,THPT,33.5,51,32,THPT Hu?nh Th? H??ng
5A122A3DXPvAibaEXe8/3iNqySORby1yTn00kxsc,THPT,27,30,45,THPT Mai Th˙c Loan
2156DAC0XPvAibaEXe8/3iNqySORb4spM8jAM1aj,THPT,29,34,42,THPT N˙i Th‡nh
11D7FBB7XPvAibaEXe8/3iNqySORby7kyf2IzNeI,THPT,24.5,53,16,THPT ChuyÍn TG
41EBF544XPvAibaEXe8/3iNqySORb+za0yWMmptx,THPT,29,42,8,THPT ChuyÍn Th?ng Long - ?‡ L?t
9B47D5AEXPvAibaEXe8/3iNqySORb2yc7gdXyezc,THPT,25.5,48,66,THPT Tr?n ??i Ngh?a
FFDFD671XPvAibaEXe8/3iNqySORb8gPuwsQ8fwa,THPT,26,2,59,THPT T‚n BÏnh
E5E0D43FXPvAibaEXe8/3iNqySORb3L2iR3l7H2W,THPT,23.5,2,134,TTGDTX Qu?n Ph˙ Nhu?n
1D719539XPvAibaEXe8/3iNqySORb0aV1QVzGOA5,THPT,29.5,48,6,THPT Nguy?n Tr„i
809877DCXPvAibaEXe8/3iNqySORb/0vLoIti8Og,THPT,30,2,2,THPT B˘i Th? Xu‚n
1A43FBA2XPvAibaEXe9lF2o7VejWNgmxmYTmCfqU,THPT,23,36,30,THPT Tr?n Qu?c Tu?n
C02BE079XPvAibaEXe9lF2o7VejWNqKPnWIO0VRS,THPT,24.5,42,6,THCS&THPT ??ng ?a
6941EDCFXPvAibaEXe9lF2o7VejWNigZWDBEXchf,THPT,24,48,23,THPT Long Th‡nh
3622E58BXPvAibaEXe9lF2o7VejWNjkH+xdoXpbr,THPT,25.5,2,56,THPT Nguy?n Th·i BÏnh
603115A9XPvAibaEXe9lF2o7VejWNmxlsu7sojKq,THPT,27,2,59,THPT T‚n BÏnh
A5889011XPvAibaEXe9lF2o7VejWNht67pu11G7v,THPT,26,46,44,THPT L?c H?ng (Tr??c 01/02/2020)
9C8782A5XPvAibaEXe9lF2o7VejWNskIJ3b/KH8Y,THPT,28,41,15,THPT L˝ T? Tr?ng
B4DF0E0BXPvAibaEXe9lF2o7VejWNjZnP3XERPYN,THPT,24,63,17,THPT Tr??ng Chinh
17946C80XPvAibaEXe9lF2o7VejWNoJR7PTzcZwM,THPT,25,4,5,THPT chuyÍn LÍ Qu˝ ?Ùn
